iter	Passed	Remaining
666	1599	798
667	1602	796
668	1604	793
669	1606	791
670	1610	789
671	1612	786
672	1614	784
673	1616	782
674	1618	779
675	1621	777
676	1623	774
677	1625	772
678	1628	769
679	1630	767
680	1632	764
681	1635	762
682	1638	760
683	1640	758
684	1643	755
685	1645	753
686	1647	750
687	1649	748
688	1651	745
689	1654	743
690	1657	741
691	1661	739
692	1663	736
693	1667	735
694	1669	732
695	1671	729
696	1674	727
697	1676	725
698	1678	722
699	1681	720
700	1684	718
701	1686	715
702	1688	713
703	1690	710
704	1692	708
705	1694	705
706	1696	703
707	1700	701
708	1702	698
709	1705	696
710	1707	694
711	1710	691
712	1712	689
713	1717	687
714	1719	685
715	1722	683
716	1724	680
717	1726	678
718	1728	675
719	1730	673
720	1733	670
721	1735	668
722	1737	665
723	1739	662
724	1741	660
725	1743	657
726	1745	655
727	1748	653
728	1750	650
729	1752	648
730	1754	645
731	1756	643
732	1758	640
733	1760	637
734	1762	635
735	1764	633
736	1766	630
737	1768	627
738	1770	625
739	1773	622
740	1775	620
741	1778	618
742	1780	615
743	1782	613
744	1784	610
745	1786	608
746	1788	605
747	1790	603
748	1792	600
749	1795	598
750	1797	596
751	1799	593
752	1802	591
753	1804	588
754	1806	586
755	1808	583
756	1811	581
757	1813	578
758	1815	576
759	1818	574
760	1821	571
761	1823	569
762	1826	567
763	1829	565
764	1831	562
765	1833	560
766	1835	557
767	1838	555
768	1840	552
769	1843	550
770	1845	548
771	1846	545
772	1848	542
773	1851	540
774	1852	537
775	1854	535
776	1856	532
777	1858	530
778	1860	527
779	1862	525
780	1865	523
781	1868	521
782	1871	518
783	1873	516
784	1875	513
785	1877	511
786	1879	508
787	1881	506
788	1883	503
789	1885	501
790	1888	498
791	1889	496
792	1891	493
793	1893	491
794	1895	488
795	1897	486
796	1899	483
797	1901	481
798	1903	478
799	1905	476
800	1907	473
801	1910	471
802	1914	469
803	1916	467
804	1918	464
805	1921	462
806	1923	459
807	1925	457
808	1928	455
809	1931	452
810	1933	450
811	1935	448
812	1938	445
813	1940	443
814	1942	441
815	1944	438
816	1946	435
817	1947	433
818	1949	430
819	1951	428
820	1954	426
821	1955	423
822	1958	421
823	1961	418
824	1963	416
825	1966	414
826	1968	411
827	1970	409
828	1973	407
829	1975	404
830	1977	402
831	1980	399
832	1982	397
833	1985	395
834	1987	392
835	1989	390
836	1992	387
837	1994	385
838	1996	383
839	2000	381
840	2002	378
841	2004	376
842	2006	373
843	2008	371
844	2011	369
845	2014	366
846	2017	364
847	2019	362
848	2021	359
849	2024	357
850	2026	354
851	2028	352
852	2031	350
853	2035	348
854	2038	345
855	2040	343
856	2043	340
857	2045	338
858	2047	336
859	2050	333
860	2053	331
861	2055	329
862	2058	326
863	2060	324
864	2062	321
865	2065	319
866	2067	317
867	2069	314
868	2070	312
869	2072	309
870	2074	307
871	2077	304
872	2081	302
873	2083	300
874	2085	297
875	2086	295
876	2089	293
877	2091	290
878	2093	288
879	2095	285
880	2097	283
881	2100	281
882	2102	278
883	2105	276
884	2107	273
885	2109	271
886	2112	269
887	2114	266
888	2116	264
889	2119	261
890	2121	259
891	2124	257
892	2126	254
893	2128	252
894	2131	250
895	2133	247
896	2135	245
897	2138	242
898	2140	240
899	2144	238
900	2146	235
901	2148	233
902	2151	231
903	2153	228
904	2155	226
905	2157	223
906	2160	221
907	2162	219
908	2165	216
909	2167	214
910	2169	211
911	2171	209
912	2173	207
913	2175	204
914	2177	202
915	2179	199
916	2181	197
917	2184	195
918	2187	192
919	2190	190
920	2192	188
921	2194	185
922	2197	183
923	2199	180
924	2201	178
925	2203	176
926	2206	173
927	2208	171
928	2211	169
929	2213	166
930	2216	164
931	2218	161
932	2221	159
933	2224	157
934	2227	154
935	2229	152
936	2231	150
937	2234	147
938	2236	145
939	2239	142
940	2241	140
941	2243	138
942	2245	135
943	2249	133
944	2251	131
945	2253	128
946	2257	126
947	2259	123
948	2262	121
949	2265	119
950	2267	116
951	2269	114
952	2271	112
953	2273	109
954	2275	107
955	2277	104
956	2279	102
957	2281	100
958	2283	97
959	2285	95
960	2288	92
961	2291	90
962	2293	88
963	2297	85
964	2299	83
965	2301	80
966	2303	78
967	2305	76
968	2307	73
969	2310	71
970	2312	69
971	2315	66
972	2317	64
973	2320	61
974	2323	59
975	2325	57
976	2327	54
977	2329	52
978	2331	50
979	2334	47
980	2336	45
981	2338	42
982	2341	40
983	2343	38
984	2345	35
985	2347	33
986	2349	30
987	2351	28
988	2354	26
989	2356	23
990	2358	21
991	2360	19
992	2362	16
993	2365	14
994	2367	11
995	2370	9
996	2372	7
997	2374	4
998	2377	2
999	2379	0
